Date,Price,Open,High,Low,Vol.,Change %
"Jul 24, 2015",153.18,153.18,153.18,153.18,0,-0.69
"Jul 23, 2015",154.25,154.25,154.25,154.25,0,-0.93
"Jul 22, 2015",155.7,155.7,155.7,155.7,0,-0.39
"Jul 21, 2015",156.31,156.31,156.31,156.31,0,-0.01
"Jul 20, 2015",156.32,156.32,156.32,156.32,0,0.23
"Jul 17, 2015",155.96,155.96,155.96,155.96,0,-0.4
"Jul 16, 2015",156.59,156.59,156.59,156.59,0,-1.17
"Jul 15, 2015",158.45,158.45,158.45,158.45,0,0.04
"Jul 14, 2015",158.39,158.39,158.39,158.39,0,-0.57
"Jul 13, 2015",159.29,159.29,159.29,159.29,0,-0.09
"Jul 10, 2015",159.44,159.44,159.44,159.44,0,-0.09
"Jul 09, 2015",159.59,159.59,159.59,159.59,0,-0.41
"Jul 08, 2015",160.24,160.24,160.24,160.24,0,-1.09
"Jul 07, 2015",162,162,162,162,0,0.35
"Jul 06, 2015",161.43,161.43,161.43,161.43,0,-0.04
"Jul 03, 2015",161.5,161.5,161.5,161.5,0,-0.52
"Jul 02, 2015",162.35,162.35,162.35,162.35,0,-0.53
"Jul 01, 2015",163.21,163.21,163.21,163.21,0,-0.73
"Jun 30, 2015",164.41,164.41,164.41,164.41,0,0.82
"Jun 29, 2015",163.08,163.08,163.08,163.08,0,0.35
"Jun 26, 2015",162.51,162.51,162.51,162.51,0,-0.1
"Jun 25, 2015",162.68,162.68,162.68,162.68,0,0.07
"Jun 24, 2015",162.56,162.56,162.56,162.56,0,0.18
"Jun 23, 2015",162.27,162.27,162.27,162.27,0,-0.66
"Jun 22, 2015",163.34,163.34,163.34,163.34,0,0.58
"Jun 19, 2015",162.4,162.4,162.4,162.4,0,-0.26
"Jun 18, 2015",162.82,162.82,162.82,162.82,0,-0.12
"Jun 17, 2015",163.02,163.02,163.02,163.02,0,0.09
"Jun 16, 2015",162.88,162.88,162.88,162.88,0,0.08
"Jun 15, 2015",162.75,162.75,162.75,162.75,0,-0.09
"Jun 12, 2015",162.89,162.89,162.89,162.89,0,0.12
"Jun 11, 2015",162.7,162.7,162.7,162.7,0,0.03
"Jun 10, 2015",162.65,162.65,162.65,162.65,0,0.18
"Jun 09, 2015",162.36,162.36,162.36,162.36,0,-0.1
"Jun 08, 2015",162.53,162.53,162.53,162.53,0,-0.76
"Jun 05, 2015",163.78,163.78,163.78,163.78,0,-0.27
"Jun 04, 2015",164.22,164.22,164.22,164.22,0,-0.01
"Jun 03, 2015",164.23,164.23,164.23,164.23,0,-0.01
"Jun 02, 2015",164.25,164.25,164.25,164.25,0,1.31
"May 29, 2015",162.13,162.13,162.13,162.13,0,0.41
"May 28, 2015",161.46,161.46,161.46,161.46,0,0.09
"May 27, 2015",161.31,161.31,161.31,161.31,0,-0.92
"May 26, 2015",162.8,162.8,162.8,162.8,0,-0.82
"May 25, 2015",164.14,164.14,164.14,164.14,0,-0.47
"May 22, 2015",164.92,164.92,164.92,164.92,0,-0.94
"May 21, 2015",166.48,166.48,166.48,166.48,0,-0.54
"May 20, 2015",167.38,167.38,167.38,167.38,0,-0.27
"May 19, 2015",167.83,167.83,167.83,167.83,0,0.21
"May 18, 2015",167.48,167.48,167.48,167.48,0,-0.15
"May 15, 2015",167.73,167.73,167.73,167.73,0,-0.05
"May 14, 2015",167.82,167.82,167.82,167.82,0,0.33
"May 13, 2015",167.27,167.27,167.27,167.27,0,-1.29
"May 12, 2015",169.46,169.46,169.46,169.46,0,-0.7
"May 11, 2015",170.65,170.65,170.65,170.65,0,-0.48
"May 08, 2015",171.47,171.47,171.47,171.47,0,-0.03
"May 07, 2015",171.52,171.52,171.52,171.52,0,-1.14
"May 06, 2015",173.49,173.49,173.49,173.49,0,-0.26
"May 05, 2015",173.94,173.94,173.94,173.94,0,0.46
"May 04, 2015",173.14,173.14,173.14,173.14,0,-0.03
"Apr 30, 2015",173.2,173.2,173.2,173.2,0,0.49
"Apr 29, 2015",172.35,172.35,172.35,172.35,0,0.38
"Apr 28, 2015",171.7,171.7,171.7,171.7,0,0.06
"Apr 27, 2015",171.59,171.59,171.59,171.59,0,-0.56
"Apr 24, 2015",172.55,172.55,172.55,172.55,0,0.57
"Apr 23, 2015",171.58,171.58,171.58,171.58,0,-0.12
"Apr 22, 2015",171.79,171.79,171.79,171.79,0,-0.68
"Apr 21, 2015",172.96,172.96,172.96,172.96,0,-0.41
"Apr 20, 2015",173.68,173.68,173.68,173.68,0,0.28
"Apr 17, 2015",173.2,173.2,173.2,173.2,0,0.95
"Apr 16, 2015",171.57,171.57,171.57,171.57,0,0.29
"Apr 15, 2015",171.07,171.07,171.07,171.07,0,0.17
"Apr 14, 2015",170.78,170.78,170.78,170.78,0,0.28
"Apr 13, 2015",170.31,170.31,170.31,170.31,0,0.41
"Apr 10, 2015",169.61,169.61,169.61,169.61,0,-0.5
"Apr 09, 2015",170.46,170.46,170.46,170.46,0,-0.2
"Apr 08, 2015",170.8,170.8,170.8,170.8,0,-0.2
"Apr 07, 2015",171.15,171.15,171.15,171.15,0,-1.29
"Apr 02, 2015",173.39,173.39,173.39,173.39,0,-1.04
"Apr 01, 2015",175.22,175.22,175.22,175.22,0,0.06
"Mar 31, 2015",175.11,175.11,175.11,175.11,0,0.16
"Mar 30, 2015",174.83,174.83,174.83,174.83,0,0.38
"Mar 27, 2015",174.16,174.16,174.16,174.16,0,0.25
"Mar 26, 2015",173.73,173.73,173.73,173.73,0,0.39
"Mar 25, 2015",173.05,173.05,173.05,173.05,0,0.28
"Mar 24, 2015",172.57,172.57,172.57,172.57,0,0.32
"Mar 23, 2015",172.02,172.02,172.02,172.02,0,-0.26
"Mar 20, 2015",172.47,172.47,172.47,172.47,0,-0.59
"Mar 19, 2015",173.5,173.5,173.5,173.5,0,0.5
"Mar 18, 2015",172.63,172.63,172.63,172.63,0,0.37
"Mar 17, 2015",171.99,171.99,171.99,171.99,0,0.19
